호선명,역이름,관광지명,관광지 주소
5호선,여의나루,63 시티,서울특별시 영등포구 63로 50 한화금융센터_63
1호선,노량진,63빌딩,서울특별시 영등포구 여의동 63로 50
9호선,국회의사당,KBS,서울특별시 영등포구 여의공원로 13
5호선,여의도,KBS 홀,서울특별시 영등포구 여의공원로 13 한국방송공사
9호선,가양,KBS스포츠월드,서울특별시 강서구 공항대로 376 KBS88체육관
5호선,여의나루,LG 사이언스 홀,서울특별시 영등포구 여의대로 128
2호선,역삼,LG아트센터,서울특별시 강남구 논현로 508
6호선,디지털미디어시티,MBC WORLD 방송테마파크,서울특별시 마포구 성암로 267
4호선,명동,N서울타워,서울특별시 용산구 남산공원길 126
8호선,장지역,가든파이브,서울특별시 송파구 충민로 66 가든파이브라이프
8호선,가락시장,가락동 농수산물시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장
3호선,신사,가로수길,서울특별시 강남구 신사동
1호선,방학,가을단풍길(상계근린공원내산책로),서울특별시 노원구 상계동
1호선,방학,간송옛집,서울특별시 도봉구 방학동
7호선,반포역,강남지하상가,서울특별시 강남구 강남대로 지하 396 이즈타워
5호선,강동,강풀만화거리,서울특별시 강동구 천호대로168가길 38-3
8호선,천호,강풀만화거리,서울특별시 강동구 천호대로168가길 38-3
6호선,안암,개운사,서울특별시 성북구 안암동5가 157-3
5호선,방화,개화산,서울특별시 강서구 개화동
5호선,거여역,거여공원,서울특별시 송파구 거여동
9호선,양천향교,겸재정선미술관,서울특별시 강서구 양천로47길 36
5호선,서대문,경교장,서울특별시 종로구 평동
1호선,소요산,경기북부어린이박물관,경기도 동두천시 평화로2910번길 46 (상봉암동)
6호선,이태원,경리단길,서울특별시 용산구 이태원동
3호선,경복궁,경복궁,서울특별시 종로구 사직로 161 경복궁
3호선,충무로,경성일보필동사옥터,서울특별시 중구 필동1가
4호선,충무로,경성일보필동사옥터,서울특별시 중구 필동1가
3호선,안국,경운동 민병옥 가옥,서울특별시 종로구 경운동
3호선,경복궁,경찰박물관,서울특별시 종로구 새문안로 41
5호선,광화문,경찰박물관,서울특별시 종로구 새문안로 41
1호선,신창,경찰충혼탑,충청남도 아산시 신창면 읍내리 670-4
5호선,서대문,경희궁,서울특별시 종로구 새문안로 55
6호선,이태원,고(엔틱)가구거리,서울특별시 용산구 이태원동
2호선,을지로4가,고당기념관,서울특별시 중구 저동2가
5호선,을지로4가,고당기념관,서울특별시 중구 저동2가
4호선,과천,과천향교,경기도 과천시 자하동길 18
6호선,효창공원앞,과학동아천문대,서울특별시 용산구 청파로 109
1호선,종각,관광안내전시관,서울특별시 중구 청계천로 40 한국관광공사 K-Style Hub 2층~5층
3호선,안국,관상감 관천대,서울특별시 종로구 계동
2호선,서울대입구,관악산,경기도 과천시 중앙동
3호선,충무로,관훈동 민씨가옥,서울특별시 중구 퇴계로34길 28
4호선,충무로,관훈동 민씨가옥,서울특별시 중구 퇴계로34길 28
1호선,종로5가,광장시장,서울특별시 종로구 창경궁로 88
5호선,광화문,광화문광장,서울특별시 종로구 세종대로 172
6호선,광흥창,광흥당,서울특별시 마포구 창전동
2호선,동대문역사문화공원,광희문,서울특별시 중구 광희동2가
4호선,동대문역사문화공원,광희문,서울특별시 중구 광희동2가
5호선,동대문역사문화공원,광희문,서울특별시 중구 광희동2가
6호선,신당,광희문,서울특별시 중구 광희동2가
7호선,논현,교보문고,서울특별시 서초구 강남대로 465 교보생명보험(주)서초사옥
5호선,광화문,교보문고,서울특별시 종로구 종로 1 교보생명빌딩
1호선,시청,구 러시아 공사관,서울특별시 중구 정동
2호선,시청,구 러시아 공사관,서울특별시 중구 정동
5호선,서대문,구 러시아 공사관,서울특별시 중구 정동
1호선,구로,구로기계공구상가,서울특별시 구로구 구로중앙로 198 구로기계공구상가
5호선,발산,구암공원,서울특별시 강서구 허준로5길 42
2호선,강남,국기원기념관,서울특별시 강남구 테헤란로7길 21
4호선,수유,국립 4.19묘지,서울특별시 강북구 수유동 580-1
4호선,대공원,국립과천과학관,경기도 과천시 상하벌로 110 국립과천과학관
3호선,남부터미널,국립국악박물관,서울특별시 서초구 남부순환로 2364
3호선,남부터미널,국립국악원,서울특별시 서초구 남부순환로 2364
3호선,경복궁,국립민속박물관,서울특별시 종로구 삼청로 37
6호선,고려대,국립산림과학원(홍릉수목원),서울특별시 동대문구 회기로 57
4호선,혜화,국립서울과학관,서울특별시 종로구 창경궁로 215 국립어린이과학관
7호선,남성,국립서울현충원,서울특별시 동작구 동작동 271-18
3호선,동대입구,국립중앙극장,서울특별시 중구 장충단로 59
1호선,이촌,국립중앙박물관,서울특별시 용산구 서빙고로 137
4호선,이촌,국립중앙박물관,서울특별시 용산구 서빙고로 137
6호선,녹사평,국립중앙박물관,서울특별시 용산구 서빙고로 137
4호선,대공원,국립현대미술관,경기도 과천시 광명로 313 국립현대미술관
4호선,동작,국립현충원,서울특별시 동작구 동작동 271-18
5호선,오목교,국제선센터 템플스테이,서울특별시 양천구 목동동로 167
9호선,국회의사당,국회의사당,서울특별시 영등포구 의사당대로 1
1호선,시청,궁중유물전시관,서울특별시 중구 정동
2호선,시청,궁중유물전시관,서울특별시 중구 정동
1호선,종로3가,권동진집터,서울특별시 종로구 돈의동
5호선,종로3가,권동진집터,서울특별시 종로구 돈의동
